,canton,search_wohnung,date
0,Appenzell Ausserrhoden,100.0,2017-06-25
1,Thurgau,43.0,2017-06-25
2,Schwyz,38.0,2017-06-25
3,Zug,34.0,2017-06-25
4,Graubünden,33.0,2017-06-25
5,Basel-Landschaft,31.0,2017-06-25
6,Aargau,30.0,2017-06-25
7,Solothurn,26.0,2017-06-25
8,Luzern,25.0,2017-06-25
9,Basel-Stadt,24.0,2017-06-25
10,Zürich,18.0,2017-06-25
11,Sankt Gallen,17.0,2017-06-25
12,Bern,15.0,2017-06-25
13,Freiburg,9.0,2017-06-25
14,Tessin,7.0,2017-06-25
15,Waadt,5.0,2017-06-25
16,Appenzell Innerrhoden,,2017-06-25
17,Genf,,2017-06-25
18,Glarus,,2017-06-25
19,Jura,,2017-06-25
20,Neuenburg,,2017-06-25
21,Nidwalden,,2017-06-25
22,Obwalden,,2017-06-25
23,Schaffhausen,,2017-06-25
24,Uri,,2017-06-25
25,Wallis,,2017-06-25
26,Appenzell Ausserrhoden,100.0,2016-12-28
27,Schaffhausen,54.0,2016-12-28
28,Thurgau,17.0,2016-12-28
29,Schwyz,15.0,2016-12-28
30,Basel-Landschaft,15.0,2016-12-28
31,Bern,13.0,2016-12-28
32,Solothurn,11.0,2016-12-28
33,Aargau,11.0,2016-12-28
34,Zürich,11.0,2016-12-28
35,Sankt Gallen,10.0,2016-12-28
36,Zug,10.0,2016-12-28
37,Graubünden,9.0,2016-12-28
38,Luzern,7.0,2016-12-28
39,Basel-Stadt,7.0,2016-12-28
40,Freiburg,6.0,2016-12-28
41,Wallis,4.0,2016-12-28
42,Tessin,4.0,2016-12-28
43,Genf,2.0,2016-12-28
44,Appenzell Innerrhoden,,2016-12-28
45,Glarus,,2016-12-28
46,Jura,,2016-12-28
47,Neuenburg,,2016-12-28
48,Nidwalden,,2016-12-28
49,Obwalden,,2016-12-28
50,Uri,,2016-12-28
51,Waadt,,2016-12-28
52,Glarus,100.0,2018-04-05
53,Obwalden,47.0,2018-04-05
54,Uri,44.0,2018-04-05
55,Thurgau,34.0,2018-04-05
56,Appenzell Ausserrhoden,32.0,2018-04-05
57,Schwyz,30.0,2018-04-05
58,Graubünden,28.0,2018-04-05
59,Bern,24.0,2018-04-05
60,Sankt Gallen,23.0,2018-04-05
61,Jura,23.0,2018-04-05
62,Luzern,22.0,2018-04-05
63,Schaffhausen,21.0,2018-04-05
64,Solothurn,20.0,2018-04-05
65,Zug,16.0,2018-04-05
66,Basel-Stadt,15.0,2018-04-05
67,Aargau,15.0,2018-04-05
68,Zürich,14.0,2018-04-05
69,Basel-Landschaft,12.0,2018-04-05
70,Freiburg,5.0,2018-04-05
71,Tessin,4.0,2018-04-05
72,Waadt,3.0,2018-04-05
73,Appenzell Innerrhoden,,2018-04-05
74,Genf,,2018-04-05
75,Neuenburg,,2018-04-05
76,Nidwalden,,2018-04-05
77,Wallis,,2018-04-05
78,Obwalden,100.0,2017-03-08
79,Uri,96.0,2017-03-08
80,Appenzell Ausserrhoden,70.0,2017-03-08
81,Nidwalden,67.0,2017-03-08
82,Thurgau,49.0,2017-03-08
83,Schwyz,43.0,2017-03-08
84,Schaffhausen,38.0,2017-03-08
85,Luzern,37.0,2017-03-08
86,Graubünden,33.0,2017-03-08
87,Zug,32.0,2017-03-08
88,Aargau,26.0,2017-03-08
89,Basel-Landschaft,25.0,2017-03-08
90,Sankt Gallen,24.0,2017-03-08
91,Wallis,22.0,2017-03-08
92,Zürich,21.0,2017-03-08
93,Basel-Stadt,19.0,2017-03-08
94,Bern,18.0,2017-03-08
95,Solothurn,17.0,2017-03-08
96,Neuenburg,13.0,2017-03-08
97,Genf,6.0,2017-03-08
98,Waadt,2.0,2017-03-08
99,Appenzell Innerrhoden,,2017-03-08
100,Freiburg,,2017-03-08
101,Glarus,,2017-03-08
102,Jura,,2017-03-08
103,Tessin,,2017-03-08
104,Appenzell Innerrhoden,100.0,2016-05-16
105,Obwalden,48.0,2016-05-16
106,Appenzell Ausserrhoden,47.0,2016-05-16
107,Glarus,39.0,2016-05-16
108,Schwyz,28.0,2016-05-16
109,Zug,22.0,2016-05-16
110,Schaffhausen,13.0,2016-05-16
111,Luzern,9.0,2016-05-16
112,Thurgau,9.0,2016-05-16
113,Aargau,8.0,2016-05-16
114,Sankt Gallen,8.0,2016-05-16
115,Bern,7.0,2016-05-16
116,Basel-Stadt,7.0,2016-05-16
117,Basel-Landschaft,6.0,2016-05-16
118,Zürich,6.0,2016-05-16
119,Solothurn,4.0,2016-05-16
120,Tessin,2.0,2016-05-16
121,Genf,2.0,2016-05-16
122,Waadt,1.0,2016-05-16
123,Freiburg,,2016-05-16
124,Graubünden,,2016-05-16
125,Jura,,2016-05-16
126,Neuenburg,,2016-05-16
127,Nidwalden,,2016-05-16
128,Uri,,2016-05-16
129,Wallis,,2016-05-16
130,Nidwalden,100.0,2018-01-28
131,Appenzell Ausserrhoden,68.0,2018-01-28
132,Glarus,43.0,2018-01-28
133,Schaffhausen,42.0,2018-01-28
134,Obwalden,36.0,2018-01-28
135,Luzern,31.0,2018-01-28
136,Basel-Stadt,29.0,2018-01-28
137,Aargau,25.0,2018-01-28
138,Sankt Gallen,24.0,2018-01-28
139,Basel-Landschaft,24.0,2018-01-28
140,Zürich,21.0,2018-01-28
141,Schwyz,19.0,2018-01-28
142,Thurgau,18.0,2018-01-28
143,Zug,17.0,2018-01-28
144,Bern,15.0,2018-01-28
145,Graubünden,15.0,2018-01-28
146,Wallis,10.0,2018-01-28
147,Solothurn,9.0,2018-01-28
148,Waadt,4.0,2018-01-28
149,Appenzell Innerrhoden,,2018-01-28
150,Freiburg,,2018-01-28
151,Genf,,2018-01-28
152,Jura,,2018-01-28
153,Neuenburg,,2018-01-28
154,Tessin,,2018-01-28
155,Uri,,2018-01-28
156,Nidwalden,100.0,2017-10-01
157,Obwalden,59.0,2017-10-01
158,Uri,57.0,2017-10-01
159,Appenzell Ausserrhoden,50.0,2017-10-01
160,Schaffhausen,41.0,2017-10-01
161,Luzern,32.0,2017-10-01
162,Basel-Landschaft,25.0,2017-10-01
163,Sankt Gallen,21.0,2017-10-01
164,Aargau,17.0,2017-10-01
165,Graubünden,15.0,2017-10-01
166,Bern,14.0,2017-10-01
167,Solothurn,13.0,2017-10-01
168,Zürich,12.0,2017-10-01
169,Wallis,12.0,2017-10-01
170,Basel-Stadt,11.0,2017-10-01
171,Zug,10.0,2017-10-01
172,Thurgau,8.0,2017-10-01
173,Freiburg,6.0,2017-10-01
174,Genf,5.0,2017-10-01
175,Waadt,4.0,2017-10-01
176,Appenzell Innerrhoden,,2017-10-01
177,Glarus,,2017-10-01
178,Jura,,2017-10-01
