dateindex,date,date_integer,BE
2015-08-31,2015-08-31,1,6.0
2015-09-01,2015-09-01,2,20.0
2015-09-02,2015-09-02,3,8.0
2015-09-03,2015-09-03,4,25.0
2015-09-04,2015-09-04,5,30.0
2015-09-05,2015-09-05,6,3.0
2015-09-06,2015-09-06,7,25.0
2015-09-07,2015-09-07,8,8.0
2015-09-08,2015-09-08,9,24.0
2015-09-09,2015-09-09,10,17.0
2015-09-10,2015-09-10,11,34.0
2015-09-11,2015-09-11,12,27.0
2015-09-12,2015-09-12,13,18.0
2015-09-13,2015-09-13,14,11.0
2015-09-14,2015-09-14,15,19.0
2015-09-15,2015-09-15,16,23.0
2015-09-16,2015-09-16,17,12.0
2015-09-17,2015-09-17,18,10.0
2015-09-18,2015-09-18,19,37.0
2015-09-19,2015-09-19,20,3
2015-09-20,2015-09-20,21,10.0
2015-09-21,2015-09-21,22,9.0
2015-09-22,2015-09-22,23,43.0
2015-09-23,2015-09-23,24,15.0
2015-09-24,2015-09-24,25,35.0
2015-09-25,2015-09-25,26,9.0
2015-09-26,2015-09-26,27,20.0
2015-09-27,2015-09-27,28,5.0
2015-09-28,2015-09-28,29,25.0
2015-09-29,2015-09-29,30,6.0
2015-09-30,2015-09-30,31,5.0
2015-10-01,2015-10-01,32,20.0
2015-10-02,2015-10-02,33,4.0
2015-10-03,2015-10-03,34,11.0
2015-10-04,2015-10-04,35,14.0
2015-10-05,2015-10-05,36,12.0
2015-10-06,2015-10-06,37,23.0
2015-10-07,2015-10-07,38,8.0
2015-10-08,2015-10-08,39,12.0
2015-10-09,2015-10-09,40,9.0
2015-10-10,2015-10-10,41,3.0
2015-10-11,2015-10-11,42,7.0
2015-10-12,2015-10-12,43,3.0
2015-10-13,2015-10-13,44,25.0
2015-10-14,2015-10-14,45,9.0
2015-10-15,2015-10-15,46,23.0
2015-10-16,2015-10-16,47,6.0
2015-10-17,2015-10-17,48,38.0
2015-10-18,2015-10-18,49,19.0
2015-10-19,2015-10-19,50,13.0
2015-10-20,2015-10-20,51,2.0
2015-10-21,2015-10-21,52,18.0
2015-10-22,2015-10-22,53,9.0
2015-10-23,2015-10-23,54,4.0
2015-10-24,2015-10-24,55,29.0
2015-10-25,2015-10-25,56,33.0
2015-10-26,2015-10-26,57,2.0
2015-10-27,2015-10-27,58,12.0
2015-10-28,2015-10-28,59,5.0
2015-10-29,2015-10-29,60,8.0
2015-10-30,2015-10-30,61,21.0
2015-10-31,2015-10-31,62,25.0
2015-11-01,2015-11-01,63,10.0
2015-11-02,2015-11-02,64,12.0
2015-11-03,2015-11-03,65,11.0
2015-11-04,2015-11-04,66,9.0
2015-11-05,2015-11-05,67,11.0
2015-11-06,2015-11-06,68,19.0
2015-11-07,2015-11-07,69,5.0
2015-11-08,2015-11-08,70,9.0
2015-11-09,2015-11-09,71,21.0
2015-11-10,2015-11-10,72,26.0
2015-11-11,2015-11-11,73,8.0
2015-11-12,2015-11-12,74,2.0
2015-11-13,2015-11-13,75,10.0
2015-11-14,2015-11-14,76,24.0
2015-11-15,2015-11-15,77,6.0
2015-11-16,2015-11-16,78,34.0
2015-11-17,2015-11-17,79,15.0
2015-11-18,2015-11-18,80,3.0
2015-11-19,2015-11-19,81,10.0
2015-11-20,2015-11-20,82,31.0
2015-11-21,2015-11-21,83,7.0
2015-11-22,2015-11-22,84,8.0
2015-11-23,2015-11-23,85,23.0
2015-11-24,2015-11-24,86,2
2015-11-25,2015-11-25,87,8.0
2015-11-26,2015-11-26,88,7.0
2015-11-27,2015-11-27,89,11.0
2015-11-28,2015-11-28,90,3.0
2015-11-29,2015-11-29,91,11.0
2015-11-30,2015-11-30,92,14.0
2015-12-01,2015-12-01,93,6.0
2015-12-02,2015-12-02,94,9.0
2015-12-03,2015-12-03,95,16.0
2015-12-04,2015-12-04,96,60.0
2015-12-05,2015-12-05,97,5.0
2015-12-06,2015-12-06,98,7.0
2015-12-07,2015-12-07,99,18.0
2015-12-08,2015-12-08,100,9.0
2015-12-09,2015-12-09,101,10.0
2015-12-10,2015-12-10,102,23.0
2015-12-11,2015-12-11,103,30.0
2015-12-12,2015-12-12,104,9.0
2015-12-13,2015-12-13,105,59.0
2015-12-14,2015-12-14,106,5.0
2015-12-15,2015-12-15,107,12.0
2015-12-16,2015-12-16,108,28.0
2015-12-17,2015-12-17,109,9.0
2015-12-18,2015-12-18,110,22.0
2015-12-19,2015-12-19,111,6.0
2015-12-20,2015-12-20,112,19.0
2015-12-21,2015-12-21,113,9.0
2015-12-22,2015-12-22,114,5.0
2015-12-23,2015-12-23,115,43.0
2015-12-24,2015-12-24,116,3.0
2015-12-25,2015-12-25,117,9.0
2015-12-26,2015-12-26,118,20.0
2015-12-27,2015-12-27,119,7.0
2015-12-28,2015-12-28,120,46.0
2015-12-29,2015-12-29,121,14.0
2015-12-30,2015-12-30,122,25.0
2015-12-31,2015-12-31,123,31.0
2016-01-01,2016-01-01,124,32.0
2016-01-02,2016-01-02,125,7.0
2016-01-03,2016-01-03,126,16.0
2016-01-04,2016-01-04,127,10.0
2016-01-05,2016-01-05,128,16.0
2016-01-06,2016-01-06,129,15.0
2016-01-07,2016-01-07,130,24.0
2016-01-08,2016-01-08,131,4
2016-01-09,2016-01-09,132,5.0
2016-01-10,2016-01-10,133,5.0
2016-01-11,2016-01-11,134,10.0
2016-01-12,2016-01-12,135,25.0
2016-01-13,2016-01-13,136,39.0
2016-01-14,2016-01-14,137,16.0
2016-01-15,2016-01-15,138,10.0
2016-01-16,2016-01-16,139,28.0
2016-01-17,2016-01-17,140,3.0
2016-01-18,2016-01-18,141,9.0
2016-01-19,2016-01-19,142,15.0
2016-01-20,2016-01-20,143,27.0
2016-01-21,2016-01-21,144,10.0
2016-01-22,2016-01-22,145,11.0
2016-01-23,2016-01-23,146,20.0
2016-01-24,2016-01-24,147,15.0
2016-01-25,2016-01-25,148,10.0
2016-01-26,2016-01-26,149,33.0
2016-01-27,2016-01-27,150,18.0
2016-01-28,2016-01-28,151,36.0
2016-01-29,2016-01-29,152,13.0
2016-01-30,2016-01-30,153,65.0
2016-01-31,2016-01-31,154,14.0
2016-02-01,2016-02-01,155,16.0
2016-02-02,2016-02-02,156,16.0
2016-02-03,2016-02-03,157,16.0
2016-02-04,2016-02-04,158,19.0
2016-02-05,2016-02-05,159,17.0
2016-02-06,2016-02-06,160,16.0
2016-02-07,2016-02-07,161,18.0
2016-02-08,2016-02-08,162,14.0
2016-02-09,2016-02-09,163,16.0
2016-02-10,2016-02-10,164,10.0
2016-02-11,2016-02-11,165,10.0
2016-02-12,2016-02-12,166,10.0
2016-02-13,2016-02-13,167,34.0
2016-02-14,2016-02-14,168,13.0
2016-02-15,2016-02-15,169,18.0
2016-02-16,2016-02-16,170,41.0
2016-02-17,2016-02-17,171,23.0
2016-02-18,2016-02-18,172,27.0
2016-02-19,2016-02-19,173,15.0
2016-02-20,2016-02-20,174,28.0
2016-02-21,2016-02-21,175,58.0
2016-02-22,2016-02-22,176,30.0
2016-02-23,2016-02-23,177,16.0
2016-02-24,2016-02-24,178,13.0
2016-02-25,2016-02-25,179,7.0
2016-02-26,2016-02-26,180,8.0
2016-02-27,2016-02-27,181,15.0
2016-02-28,2016-02-28,182,10.0
2016-02-29,2016-02-29,183,20.0
2016-03-01,2016-03-01,184,10.0
2016-03-02,2016-03-02,185,11.0
2016-03-03,2016-03-03,186,6.0
2016-03-04,2016-03-04,187,10.0
2016-03-05,2016-03-05,188,13.0
2016-03-06,2016-03-06,189,12.0
2016-03-07,2016-03-07,190,16.0
2016-03-08,2016-03-08,191,16.0
2016-03-09,2016-03-09,192,10.0
2016-03-10,2016-03-10,193,32.0
2016-03-11,2016-03-11,194,13.0
2016-03-12,2016-03-12,195,9.0
2016-03-13,2016-03-13,196,18.0
2016-03-14,2016-03-14,197,21.0
2016-03-15,2016-03-15,198,6.0
2016-03-16,2016-03-16,199,23.0
2016-03-17,2016-03-17,200,16.0
2016-03-18,2016-03-18,201,14.0
2016-03-19,2016-03-19,202,4.0
2016-03-20,2016-03-20,203,17.0
2016-03-21,2016-03-21,204,10.0
2016-03-22,2016-03-22,205,15.0
2016-03-23,2016-03-23,206,10.0
2016-03-24,2016-03-24,207,8.0
2016-03-25,2016-03-25,208,17.0
2016-03-26,2016-03-26,209,6.0
2016-03-27,2016-03-27,210,7.0
2016-03-28,2016-03-28,211,8.0
2016-03-29,2016-03-29,212,18.0
2016-03-30,2016-03-30,213,16.0
2016-03-31,2016-03-31,214,7.0
2016-04-01,2016-04-01,215,11.0
2016-04-02,2016-04-02,216,6.0
2016-04-03,2016-04-03,217,18.0
2016-04-04,2016-04-04,218,23.0
2016-04-05,2016-04-05,219,13.0
2016-04-06,2016-04-06,220,4.0
2016-04-07,2016-04-07,221,24.0
2016-04-08,2016-04-08,222,4.0
2016-04-09,2016-04-09,223,17.0
2016-04-10,2016-04-10,224,10.0
2016-04-11,2016-04-11,225,17.0
2016-04-12,2016-04-12,226,14.0
2016-04-13,2016-04-13,227,6.0
2016-04-14,2016-04-14,228,7.0
2016-04-15,2016-04-15,229,19.0
2016-04-16,2016-04-16,230,14.0
2016-04-17,2016-04-17,231,17.0
2016-04-18,2016-04-18,232,15.0
2016-04-19,2016-04-19,233,11.0
2016-04-20,2016-04-20,234,6.0
2016-04-21,2016-04-21,235,10.0
2016-04-22,2016-04-22,236,40.0
2016-04-23,2016-04-23,237,15.0
2016-04-24,2016-04-24,238,14.0
2016-04-25,2016-04-25,239,12.0
2016-04-26,2016-04-26,240,34.0
2016-04-27,2016-04-27,241,22.0
2016-04-28,2016-04-28,242,17.0
2016-04-29,2016-04-29,243,13.0
2016-04-30,2016-04-30,244,11.0
2016-05-01,2016-05-01,245,11.0
2016-05-02,2016-05-02,246,10.0
2016-05-03,2016-05-03,247,18.0
2016-05-04,2016-05-04,248,19.0
2016-05-05,2016-05-05,249,7.0
2016-05-06,2016-05-06,250,5.0
2016-05-07,2016-05-07,251,24.0
2016-05-08,2016-05-08,252,12.0
2016-05-09,2016-05-09,253,26.0
2016-05-10,2016-05-10,254,4.0
2016-05-11,2016-05-11,255,21.0
2016-05-12,2016-05-12,256,25.0
2016-05-13,2016-05-13,257,4.0
2016-05-14,2016-05-14,258,8.0
2016-05-15,2016-05-15,259,10.0
2016-05-16,2016-05-16,260,7.0
2016-05-17,2016-05-17,261,19.0
2016-05-18,2016-05-18,262,5.0
2016-05-19,2016-05-19,263,13.0
2016-05-20,2016-05-20,264,57.0
2016-05-21,2016-05-21,265,7.0
2016-05-22,2016-05-22,266,12.0
2016-05-23,2016-05-23,267,7.0
2016-05-24,2016-05-24,268,15.0
2016-05-25,2016-05-25,269,4.0
2016-05-26,2016-05-26,270,21.0
2016-05-27,2016-05-27,271,23.0
2016-05-28,2016-05-28,272,15.0
2016-05-29,2016-05-29,273,13.0
2016-05-30,2016-05-30,274,5.0
2016-05-31,2016-05-31,275,7.0
2016-06-01,2016-06-01,276,16.0
2016-06-02,2016-06-02,277,79.0
2016-06-03,2016-06-03,278,4.0
2016-06-04,2016-06-04,279,6.0
2016-06-05,2016-06-05,280,11.0
2016-06-06,2016-06-06,281,21.0
2016-06-07,2016-06-07,282,13.0
2016-06-08,2016-06-08,283,7.0
2016-06-09,2016-06-09,284,4.0
2016-06-10,2016-06-10,285,9.0
2016-06-11,2016-06-11,286,11.0
2016-06-12,2016-06-12,287,4
2016-06-13,2016-06-13,288,18.0
2016-06-14,2016-06-14,289,11.0
2016-06-15,2016-06-15,290,4.0
2016-06-16,2016-06-16,291,14.0
2016-06-17,2016-06-17,292,7.0
