dateindex,date,date_integer,ZH
2015-08-31,2015-08-31,1,7.0
2015-09-01,2015-09-01,2,20.0
2015-09-02,2015-09-02,3,15.0
2015-09-03,2015-09-03,4,30.0
2015-09-04,2015-09-04,5,29.0
2015-09-05,2015-09-05,6,3.0
2015-09-06,2015-09-06,7,25.0
2015-09-07,2015-09-07,8,11.0
2015-09-08,2015-09-08,9,22.0
2015-09-09,2015-09-09,10,19.0
2015-09-10,2015-09-10,11,39.0
2015-09-11,2015-09-11,12,25.0
2015-09-12,2015-09-12,13,27.0
2015-09-13,2015-09-13,14,13.0
2015-09-14,2015-09-14,15,13.0
2015-09-15,2015-09-15,16,38.0
2015-09-16,2015-09-16,17,14.0
2015-09-17,2015-09-17,18,8.0
2015-09-18,2015-09-18,19,30.0
2015-09-19,2015-09-19,20,1
2015-09-20,2015-09-20,21,8.0
2015-09-21,2015-09-21,22,12.0
2015-09-22,2015-09-22,23,40.0
2015-09-23,2015-09-23,24,13.0
2015-09-24,2015-09-24,25,32.0
2015-09-25,2015-09-25,26,10.0
2015-09-26,2015-09-26,27,8.0
2015-09-27,2015-09-27,28,5.0
2015-09-28,2015-09-28,29,25.0
2015-09-29,2015-09-29,30,10.0
2015-09-30,2015-09-30,31,9.0
2015-10-01,2015-10-01,32,19.0
2015-10-02,2015-10-02,33,6.0
2015-10-03,2015-10-03,34,23.0
2015-10-04,2015-10-04,35,14.0
2015-10-05,2015-10-05,36,8.0
2015-10-06,2015-10-06,37,23.0
2015-10-07,2015-10-07,38,8.0
2015-10-08,2015-10-08,39,15.0
2015-10-09,2015-10-09,40,7.0
2015-10-10,2015-10-10,41,4.0
2015-10-11,2015-10-11,42,7.0
2015-10-12,2015-10-12,43,4.0
2015-10-13,2015-10-13,44,22.0
2015-10-14,2015-10-14,45,9.0
2015-10-15,2015-10-15,46,33.0
2015-10-16,2015-10-16,47,8.0
2015-10-17,2015-10-17,48,26.0
2015-10-18,2015-10-18,49,13.0
2015-10-19,2015-10-19,50,21.0
2015-10-20,2015-10-20,51,7.0
2015-10-21,2015-10-21,52,28.0
2015-10-22,2015-10-22,53,7.0
2015-10-23,2015-10-23,54,4.0
2015-10-24,2015-10-24,55,26.0
2015-10-25,2015-10-25,56,11.0
2015-10-26,2015-10-26,57,4.0
2015-10-27,2015-10-27,58,16.0
2015-10-28,2015-10-28,59,9.0
2015-10-29,2015-10-29,60,7.0
2015-10-30,2015-10-30,61,13.0
2015-10-31,2015-10-31,62,20.0
2015-11-01,2015-11-01,63,13.0
2015-11-02,2015-11-02,64,10.0
2015-11-03,2015-11-03,65,20.0
2015-11-04,2015-11-04,66,9.0
2015-11-05,2015-11-05,67,9.0
2015-11-06,2015-11-06,68,26.0
2015-11-07,2015-11-07,69,4.0
2015-11-08,2015-11-08,70,6.0
2015-11-09,2015-11-09,71,22.0
2015-11-10,2015-11-10,72,25.0
2015-11-11,2015-11-11,73,10.0
2015-11-12,2015-11-12,74,6.0
2015-11-13,2015-11-13,75,17.0
2015-11-14,2015-11-14,76,12.0
2015-11-15,2015-11-15,77,7.0
2015-11-16,2015-11-16,78,28.0
2015-11-17,2015-11-17,79,20.0
2015-11-18,2015-11-18,80,3.0
