dateindex,date,date_integer,AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SZ,SO,TI,TG,UR,VD,VS,ZG,ZH
2015-08-31,2015-08-31,1,5.0,,,11.0,4.0,6.0,10.0,4.0,,6.0,,10.0,5.0,100.0,,7.0,49.0,22.0,5.0,3.0,11.0,,1.0,9.0,12.0,7.0
2015-09-01,2015-09-01,2,20.0,92.0,,22.0,18.0,20.0,,7.0,,34.0,,9.0,27.0,100.0,,23.0,90.0,45.0,20.0,,40.0,,,,32.0,20.0
2015-09-02,2015-09-02,3,18.0,,,18.0,18.0,8.0,11.0,5.0,,14.0,,14.0,22.0,,,15.0,100.0,42.0,22.0,,,,3.0,19.0,12.0,15.0
2015-09-03,2015-09-03,4,43.0,,,72.0,39.0,25.0,29.0,5.0,,33.0,,53.0,53.0,,,48.0,,53.0,27.0,34.0,59.0,,6.0,,100.0,30.0
2015-09-04,2015-09-04,5,39.0,,,49.0,17.0,30.0,65.0,9.0,,74.0,,42.0,31.0,,,33.0,100.0,66.0,59.0,,35.0,,,28.0,,29.0
2015-09-05,2015-09-05,6,7.0,,,6.0,5.0,3.0,,2.0,,12.0,,8.0,,,100.0,5.0,,11.0,5.0,4.0,6.0,,1.0,,11.0,3.0
2015-09-06,2015-09-06,7,41.0,,,30.0,22.0,25.0,,22.0,,58.0,,49.0,,,,63.0,93.0,63.0,28.0,22.0,100.0,,7.0,25.0,46.0,25.0
2015-09-07,2015-09-07,8,13.0,,,11.0,6.0,8.0,14.0,2.0,,,,10.0,7.0,,,10.0,,,18.0,,9.0,100.0,2.0,6.0,9.0,11.0
2015-09-08,2015-09-08,9,27.0,,,65.0,8.0,24.0,,,,24.0,,37.0,21.0,,,49.0,100.0,,64.0,14.0,,,5.0,18.0,,22.0
2015-09-09,2015-09-09,10,17.0,100.0,,33.0,8.0,17.0,15.0,3.0,,,,21.0,,,,28.0,53.0,,38.0,10.0,19.0,,7.0,14.0,19.0,19.0
2015-09-10,2015-09-10,11,47.0,,,72.0,24.0,34.0,,13.0,,38.0,,52.0,69.0,,,29.0,,100.0,47.0,20.0,77.0,,8.0,27.0,40.0,39.0
2015-09-11,2015-09-11,12,30.0,,,,22.0,27.0,,24.0,,,,59.0,28.0,,,52.0,97.0,,28.0,18.0,68.0,,10.0,24.0,100.0,25.0
2015-09-12,2015-09-12,13,23.0,,,35.0,31.0,18.0,,15.0,,44.0,,24.0,33.0,,,42.0,,79.0,31.0,,,,8.0,,100.0,27.0
2015-09-13,2015-09-13,14,28.0,89.0,,12.0,12.0,11.0,,9.0,,15.0,,13.0,,100.0,,15.0,36.0,,11.0,9.0,15.0,,3.0,10.0,19.0,13.0
2015-09-14,2015-09-14,15,11.0,73.0,,25.0,7.0,19.0,26.0,5.0,,22.0,,29.0,12.0,100.0,,18.0,,25.0,19.0,,15.0,,,11.0,,13.0
2015-09-15,2015-09-15,16,49.0,,,32.0,53.0,23.0,27.0,24.0,,100.0,,34.0,29.0,,,42.0,99.0,60.0,73.0,,35.0,,7.0,52.0,71.0,38.0
2015-09-16,2015-09-16,17,13.0,,,,11.0,12.0,11.0,5.0,,30.0,,13.0,,,,24.0,40.0,100.0,12.0,8.0,28.0,,4.0,11.0,15.0,14.0
